Material Description,Material No,date,Plant,sales,UOM,Total Actual Cost
AMRITHA JASMINE (1X144),6010000653,29.09.2016,1007,"50,400.00",EA,"941,332.86"
AMRITHA JASMINE (1X144),6010000653,29.09.2016,1007,"50,400.00",EA,"947,913.46"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"50,400.00",EA,"959,456.02"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"5,904.00",EA,"108,226.76"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"21,600.00",EA,"419,184.92"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"10,944.00",EA,"95,942.02"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"22,032.00",EA,"426,028.96"
AMRITHA JASMINE (1X144),6010000653,30.09.2016,1007,"46,656.00",EA,"907,773.17"
AMRITHA JASMINE (1X144),6010000653,08.10.2016,1007,"28,944.00",EA,"531,408.56"
AMRITHA JASMINE (1X144),6010000653,08.10.2016,1007,"23,760.00",EA,"484,597.82"
AMRITHA JASMINE (1X144),6010000653,08.10.2016,1007,"23,760.00",EA,"487,566.55"
AMRITHA JASMINE (1X144),6010000653,11.10.2016,1007,"23,760.00",EA,"489,515.22"
AMRITHA JASMINE (1X144),6010000653,11.10.2016,1007,"26,640.00",EA,"524,947.08"
AMRITHA JASMINE (1X144),6010000653,11.10.2016,1007,"31,680.00",EA,"631,446.11"
AMRITHA JASMINE (1X144),6010000653,12.10.2016,1007,"3,312.00",EA,"62,343.41"
AMRITHA JASMINE (1X144),6010000653,12.10.2016,1007,"23,760.00",EA,"471,087.65"
AMRITHA JASMINE (1X144),6010000653,12.10.2016,1007,"14,976.00",EA,"291,442.42"
AMRITHA JASMINE (1X144),6010000653,18.10.2016,1007,"27,072.00",EA,"509,637.78"
AMRITHA JASMINE (1X144),6010000653,18.10.2016,1007,"16,560.00",EA,"320,704.07"
AMRITHA JASMINE (1X144),6010000653,19.10.2016,1007,"17,280.00",EA,"302,917.89"
AMRITHA JASMINE (1X144),6010000653,20.10.2016,1007,"54,144.00",EA,"942,451.33"
AMRITHA JASMINE (1X144),6010000653,21.10.2016,1007,"4,464.00",EA,"83,784.00"
AMRITHA JASMINE (1X144),6010000653,26.10.2016,1007,"23,472.00",EA,"462,855.08"
AMRITHA JASMINE (1X144),6010000653,27.10.2016,1007,"44,640.00",EA,"817,889.14"
AMRITHA JASMINE (1X144),6010000653,29.10.2016,1007,"40,176.00",EA,"665,075.45"
AMRITHA JASMINE (1X144),6010000653,02.11.2016,1007,"47,520.00",EA,"791,447.32"
AMRITHA JASMINE (1X144),6010000653,04.11.2016,1007,"23,760.00",EA,"406,922.11"
AMRITHA JASMINE (1X144),6010000653,07.11.2016,1007,"23,760.00",EA,"408,539.98"
AMRITHA JASMINE (1X144),6010000653,07.11.2016,1007,"23,760.00",EA,"415,515.33"
AMRITHA JASMINE (1X144),6010000653,09.11.2016,1007,"26,928.00",EA,"445,471.52"
AMRITHA JASMINE (1X144),6010000653,09.11.2016,1007,"21,600.00",EA,"349,863.47"
AMRITHA JASMINE (1X144),6010000653,12.11.2016,1007,"2,880.00",EA,"48,763.23"
AMRITHA JASMINE (1X144),6010000653,15.11.2016,1007,"4,320.00",EA,"69,212.61"
AMRITHA JASMINE (1X144),6010000653,17.11.2016,1007,"14,976.00",EA,"249,806.25"
AMRITHA JASMINE (1X144),6010000653,22.11.2016,1007,"23,760.00",EA,"391,422.18"
AMRITHA JASMINE (1X144),6010000653,25.11.2016,1007,"23,760.00",EA,"366,699.46"
AMRITHA JASMINE (1X144),6010000653,27.11.2016,1007,"47,520.00",EA,"735,900.52"
